application_id,borrower_id,loan_purpose,requested_amount,application_date,status
app_3ef651f63c20,brw_07a30dac991d,debt_consolidation,23227.19,2025-11-28,offers_declined
app_ca374edc198b,brw_07a30dac991d,home_improvement,23349.89,2026-05-09,offers_declined
app_2a5c21b9fb32,brw_8c408e255746,debt_consolidation,9939.71,2026-09-17,funded
app_d66dc65387d6,brw_8c408e255746,medical,7779.52,2026-06-17,funded
app_554b938f9cc4,brw_da6da610c67f,medical,13352.75,2026-02-05,offers_declined
app_c52d5f5f76ea,brw_b9a7a4f01a7c,home_improvement,17851.32,2025-08-16,funded
app_45feb89dd778,brw_b9a7a4f01a7c,major_purchase,7570.52,2025-07-21,funded
app_854169709fc9,brw_4ddf8211ad16,home_improvement,17048.68,2026-07-29,funded
app_b050f1c1deaf,brw_779199b75246,major_purchase,8606.64,2026-06-25,offers_declined
app_ba7abb9a1083,brw_c35af7b13f27,debt_consolidation,23083.49,2026-08-16,funded
app_7563a078944a,brw_c35af7b13f27,other,10071.63,2026-08-27,funded
app_8a29cb7d0c83,brw_4105177c8aec,major_purchase,17647.86,2026-02-26,funded
app_40c853862742,brw_4105177c8aec,medical,8894.76,2026-07-27,funded
app_c53a21cd91e9,brw_96134911d72b,debt_consolidation,25481.91,2026-07-17,funded
app_beea6a2679f3,brw_724b50bda1a3,debt_consolidation,7018.73,2025-07-30,funded
app_70eaf41dbf50,brw_3e38fef38249,debt_consolidation,26227.3,2025-11-17,funded
app_04d66781c47a,brw_1b57310b0669,major_purchase,15514.42,2026-05-29,offers_declined
app_055f126aa016,brw_1b57310b0669,other,8043.39,2026-07-01,funded
app_c730adf45558,brw_777832b09d66,debt_consolidation,9530.89,2025-10-05,funded
app_6605e8032363,brw_777832b09d66,debt_consolidation,19280.15,2026-03-06,funded
app_4835318f1b9e,brw_7eebe2714875,debt_consolidation,7280.55,2026-09-11,offers_declined
app_9a41734cbd59,brw_144c8a1d554b,other,19585.29,2026-04-02,offers_declined
app_0e627176f746,brw_144c8a1d554b,home_improvement,24992.54,2026-09-03,funded
app_6680e1a13e22,brw_17fc73551b94,major_purchase,17478.49,2026-09-04,funded
app_0f9f9b534d5c,brw_17fc73551b94,major_purchase,17124.84,2025-09-17,funded
app_3c8d0ccfbd26,brw_ba2ee3a5a60a,debt_consolidation,17479.26,2026-05-12,funded
app_6a6f22df9e40,brw_ba2ee3a5a60a,home_improvement,19740.55,2026-05-01,funded
app_84a2d2ab8b3f,brw_ba2ee3a5a60a,medical,12168.58,2026-09-11,funded
app_4771b1f6c829,brw_4b1e9c94f363,debt_consolidation,14779.55,2026-08-09,funded
app_3b10f712bfbf,brw_f74c18a29085,debt_consolidation,24065.05,2026-02-06,funded
app_644fb076b42a,brw_04e14a62fb52,major_purchase,14643.7,2026-07-07,funded
app_bba62763dd42,brw_0e6006f84292,debt_consolidation,13432.55,2026-07-23,offers_declined
app_5e39fbc80068,brw_0e6006f84292,home_improvement,16254.24,2026-08-26,offers_declined
app_355b6455148c,brw_29b6e3cf672b,medical,4205.26,2026-06-12,funded
app_deacb0f3e852,brw_cedd44c03fdb,home_improvement,32000.66,2026-08-09,funded
app_eee796c814ed,brw_cedd44c03fdb,home_improvement,6049.83,2026-08-18,funded
app_0a06a2399cbe,brw_921c7e3dcc39,debt_consolidation,6916.16,2026-09-07,funded
app_5bbb4ee41022,brw_549870f29680,debt_consolidation,29130.14,2025-12-12,offers_declined
app_f64635261b5a,brw_af3b4b559613,debt_consolidation,34493.47,2026-04-24,funded
app_e5669e96c251,brw_af3b4b559613,debt_consolidation,12950.24,2026-07-22,funded
app_ef37bbb4ae47,brw_408c5e34b2c1,home_improvement,12576.36,2026-06-01,funded
app_5d21218fbfcd,brw_408c5e34b2c1,debt_consolidation,18829.85,2026-06-11,funded
app_7c11e8156495,brw_f99c100bfb59,medical,8709.64,2026-07-21,offers_declined
app_fdc6d2a59170,brw_897ee13570aa,medical,11735.79,2026-08-17,offers_declined
app_76c8db74d508,brw_eaa121b4092f,home_improvement,32829.78,2026-07-21,offers_declined
app_15b81187bbcb,brw_c86e9eef5839,major_purchase,24095.23,2026-02-20,funded
app_2a3e3ee5ef6e,brw_c86e9eef5839,debt_consolidation,27360.3,2026-04-22,funded
app_30aeebbf0f7c,brw_e5ffc929693e,debt_consolidation,7211.28,2026-04-23,funded
app_f493c0b46a54,brw_e5ffc929693e,debt_consolidation,34231.95,2026-02-18,offers_declined
app_ec87a868a305,brw_851435f27135,debt_consolidation,18192.21,2026-02-07,funded
app_5d2c807da51c,brw_4c1e29ba042b,debt_consolidation,34531.04,2026-07-23,funded
app_d4b43e3cbdaa,brw_4c1e29ba042b,medical,9655.42,2026-07-01,offers_declined
app_db0ee1c3949d,brw_4c1e29ba042b,major_purchase,2665.81,2026-08-02,funded
app_f29adbfd3d7e,brw_c2c3194e6788,debt_consolidation,28409.11,2026-08-30,funded
app_d8704d4af648,brw_c2c3194e6788,home_improvement,20824.32,2026-07-06,funded
app_612a291af303,brw_2460e90f0d79,home_improvement,24165.57,2026-08-16,funded
app_6bc796ca7d1d,brw_2460e90f0d79,home_improvement,23655.18,2026-09-18,funded
app_8dc90959cfe6,brw_74314b156379,debt_consolidation,27326.3,2025-09-13,funded
app_f7a4c5615d35,brw_74314b156379,medical,11229.23,2025-06-11,offers_declined
app_bf0896c11101,brw_c07f849a73b6,debt_consolidation,32206.83,2026-02-08,funded
app_9aed7fc66a29,brw_cce9f093402c,major_purchase,21124.47,2025-11-02,funded
app_e1d0631008b0,brw_31241439df73,debt_consolidation,10241.05,2026-05-24,funded
app_17db48642dc1,brw_250319701196,medical,7833.72,2026-03-03,funded
app_0bb6c37c6aeb,brw_81bac5032c10,debt_consolidation,11681.2,2026-05-05,funded
app_c82a33ffd769,brw_e1cc84e0717c,home_improvement,3006.28,2026-03-24,funded
app_79c1d6935e65,brw_769c6556eaa3,major_purchase,3069.51,2025-02-11,funded
app_6895fe821d9f,brw_769c6556eaa3,other,18402.29,2025-12-26,funded
app_335761a96a72,brw_2b87f526da17,home_improvement,31148.68,2026-08-28,funded
app_61bf43856b98,brw_d76fddc64089,other,2022.24,2026-08-20,offers_declined
app_5f9bd4736b45,brw_e53da88fd8b1,home_improvement,8727.81,2026-03-30,funded
app_ea9fd15fe2f6,brw_ef10c76a3abf,home_improvement,25981.87,2026-09-08,funded
app_e00957a391d5,brw_bd2b2213296f,debt_consolidation,26506.05,2025-04-08,funded
app_fae08c746c22,brw_bd2b2213296f,major_purchase,2708.84,2025-12-11,funded
app_a82be8c009f5,brw_714f19eff8d7,debt_consolidation,10519.78,2026-06-24,offers_declined
app_754481c10372,brw_0b8a1c46909c,medical,8695.3,2026-09-14,funded
app_12d9b7f2d511,brw_0b8a1c46909c,major_purchase,5089.03,2026-09-05,offers_declined
app_ab1257ae28c3,brw_0b8a1c46909c,home_improvement,33067.77,2026-09-13,funded
app_239986608b0d,brw_fd79a1822665,medical,3508.03,2025-12-29,funded
app_71bd01c3193f,brw_fd79a1822665,home_improvement,16515.98,2026-04-29,funded
app_feec76e6165d,brw_cb9e72347365,home_improvement,20723.78,2026-09-11,funded
app_57bae4ad2ef5,brw_cb9e72347365,medical,14898.86,2026-07-05,offers_declined
app_f8a320831ae5,brw_a54cc638c28b,medical,2645.23,2026-09-17,offers_declined
app_cc5b00fe069a,brw_d77a16be0e9f,debt_consolidation,24547.28,2026-03-17,funded
app_43659788f7f2,brw_cec721950113,debt_consolidation,26164.84,2026-03-15,funded
app_3e7ae9e14842,brw_cec721950113,major_purchase,16726.7,2026-06-24,funded
app_2c87b27c93f7,brw_cec721950113,medical,6279.12,2026-05-14,offers_declined
app_62dc22a642be,brw_e7d478ba99dc,major_purchase,21235.7,2026-03-19,funded
app_f4b410368ba0,brw_9b8583b56653,debt_consolidation,19140.36,2026-01-08,funded
app_06673e910a6a,brw_6d0d4be2c674,other,14034.23,2026-05-31,offers_declined
app_8653849cddfa,brw_8425012678cd,major_purchase,8900.79,2026-05-11,funded
app_8e35b34d4654,brw_6c7918b42c97,major_purchase,9759.93,2026-07-19,funded
app_57efcfdb72b5,brw_6c7918b42c97,debt_consolidation,8090.28,2025-12-11,funded
app_1bf02bc6fa47,brw_77812406d403,other,14254.83,2025-10-23,offers_declined
app_8e596defbb46,brw_932b8fe1500e,major_purchase,20353.19,2026-09-14,funded
app_05afa54993ac,brw_5d7c8a2fc827,medical,5786.78,2026-08-21,funded
app_5a89db74b5b5,brw_cfb69674c5d3,debt_consolidation,34237.96,2026-07-19,funded
app_8ade0d9d036c,brw_cfb69674c5d3,debt_consolidation,25000.84,2026-08-18,funded
app_c15683c3f699,brw_fdf3db3581e4,debt_consolidation,21750.51,2026-06-22,funded
app_8650adc1aede,brw_503ee5d1c3a5,medical,8720.55,2026-05-06,funded
app_662f6cea810f,brw_607c43a184a2,major_purchase,17132.19,2026-08-30,offers_declined
app_65efa8ab2ccc,brw_6ab5015391c5,medical,2477.2,2026-08-30,funded
app_8dcb6cb61e20,brw_6fffb8257ff3,medical,6250.88,2026-06-08,funded
app_7230a2b7094e,brw_0f206dca4d47,medical,7835.87,2026-08-29,offers_declined
app_8fcbb04423b5,brw_0f206dca4d47,debt_consolidation,29514.25,2026-05-04,funded
app_d7b970aff1c2,brw_2b0b85df191f,debt_consolidation,15085.05,2026-08-20,funded
app_6d3e2c06c56c,brw_4f4bc2baf220,major_purchase,9438.47,2026-05-12,offers_declined
app_8e1dd6e12135,brw_1ebffc383a13,debt_consolidation,29128.42,2026-01-14,offers_declined
app_24033e1101fa,brw_1ebffc383a13,major_purchase,2438.8,2026-07-10,funded
app_d8645bd7f4c8,brw_0ed75b24c9af,home_improvement,3679.77,2026-07-27,offers_declined
app_4966a7a7e54d,brw_f1bda367b8e2,home_improvement,36249.8,2025-09-19,funded
app_50fe0e8f1e51,brw_f1bda367b8e2,home_improvement,11543.72,2026-07-20,offers_declined
app_d61f88cfdcb0,brw_3f91708bb7e8,other,15397.76,2026-08-16,funded
app_bf0ef517210c,brw_aff54c8bfa61,home_improvement,22096.69,2026-07-12,offers_declined
app_e4c7dc712aa4,brw_aff54c8bfa61,debt_consolidation,25751.52,2026-07-18,offers_declined
app_717bf942d7d6,brw_aff54c8bfa61,major_purchase,21841.47,2026-09-17,funded
app_cdd0969d5ca6,brw_746bf50dc2b6,debt_consolidation,17508.71,2026-05-03,funded
app_d2307f59b8a0,brw_9fe0e72e20eb,debt_consolidation,17412.74,2026-06-30,funded
app_1d719d11fab1,brw_9fe0e72e20eb,major_purchase,6883.77,2026-08-05,offers_declined
app_4be7c4718df4,brw_e5bef617885b,debt_consolidation,16257.22,2026-07-27,funded
app_380689f319bc,brw_55c5e1856df2,debt_consolidation,16226.47,2026-07-04,funded
app_90478f32aad3,brw_ebf8b4cd0f67,major_purchase,23574.55,2025-07-29,funded
app_1a88f5ab9a35,brw_ebf8b4cd0f67,major_purchase,14433.27,2026-04-18,funded
app_32b2d64f29b4,brw_532c33fb5ae8,medical,3391.22,2026-07-23,funded
app_8e79717a16cd,brw_a14925c790e2,home_improvement,21005.32,2026-08-31,offers_declined
app_9eedf36d454f,brw_a14925c790e2,debt_consolidation,21800.91,2026-06-07,offers_declined
app_51fec086f705,brw_14043a6a63bc,home_improvement,19812.59,2026-05-25,funded
app_b520d3e9c6ab,brw_14043a6a63bc,major_purchase,9187.49,2026-09-19,funded
app_48a0bf7d101a,brw_ccfd5486584f,other,16369.02,2026-07-27,funded
app_2ca15e2dbd9b,brw_f585e2153caa,other,12315.34,2025-09-04,funded
app_7d7db2320da5,brw_3e87a5621543,debt_consolidation,14470.66,2026-09-11,funded
app_4b2015b37930,brw_3e87a5621543,debt_consolidation,23140.57,2026-07-31,funded
app_71a9938113da,brw_3e87a5621543,debt_consolidation,26001.66,2026-09-03,funded
app_dedddb35edeb,brw_ad7bdcdf39c8,home_improvement,21000.63,2026-08-12,funded
app_9f55e7d99e0b,brw_ad7bdcdf39c8,debt_consolidation,14220.12,2026-08-12,offers_declined
