offer_id,application_id,borrower_id,lender_id,offered_amount,apr,term_months,offer_date,status
off_879dcaf09f35,app_3ef651f63c20,brw_07a30dac991d,lnd_035d3bde8267,19952.13,0.094,36,2025-11-28,declined
off_7ae2cf9654d4,app_3ef651f63c20,brw_07a30dac991d,lnd_54a37531f7e5,22524.93,0.1369,36,2025-11-29,declined
off_f00f719286c1,app_3ef651f63c20,brw_07a30dac991d,lnd_68d1bb39a009,20893.06,0.1885,24,2025-11-30,declined
off_e17015489018,app_3ef651f63c20,brw_07a30dac991d,lnd_2e2adcc3d662,21479.6,0.1748,36,2025-11-29,declined
off_48e354d21ea9,app_3ef651f63c20,brw_07a30dac991d,lnd_f0806e150f18,22669.96,0.1393,36,2025-11-30,declined
off_d4628ebe0859,app_3ef651f63c20,brw_07a30dac991d,lnd_abf7ad1fc508,19744.15,0.2389,12,2025-12-01,declined
off_b438d52cb335,app_3ef651f63c20,brw_07a30dac991d,lnd_40648b57da4a,24372.65,0.3287,60,2025-12-01,declined
off_ea43e81c8ebc,app_ca374edc198b,brw_07a30dac991d,lnd_ebd3fcc47db6,23649.71,0.0875,60,2026-05-11,declined
off_5b4b6dd44b2c,app_ca374edc198b,brw_07a30dac991d,lnd_035d3bde8267,21649.76,0.0705,24,2026-05-11,declined
off_6f981f994c37,app_ca374edc198b,brw_07a30dac991d,lnd_eb741dcfd1a0,18833.34,0.1228,36,2026-05-12,declined
off_2f6397aa32a4,app_ca374edc198b,brw_07a30dac991d,lnd_5201a46cec3a,19063.71,0.1229,48,2026-05-09,declined
off_66c8ca4042ca,app_ca374edc198b,brw_07a30dac991d,lnd_68d1bb39a009,23169.89,0.2041,12,2026-05-12,declined
off_8c22190e14e0,app_ca374edc198b,brw_07a30dac991d,lnd_f0806e150f18,21399.2,0.1666,24,2026-05-12,declined
off_bf26b44a7b01,app_ca374edc198b,brw_07a30dac991d,lnd_40648b57da4a,23161.82,0.2196,36,2026-05-10,declined
off_03c62ee8a651,app_2a5c21b9fb32,brw_8c408e255746,lnd_eb741dcfd1a0,8811.61,0.1464,60,2026-09-18,declined
off_c40f1d4e76a3,app_2a5c21b9fb32,brw_8c408e255746,lnd_5201a46cec3a,8262.81,0.1162,36,2026-09-19,accepted
off_e04b9d9063d6,app_2a5c21b9fb32,brw_8c408e255746,lnd_68d1bb39a009,9422.37,0.1823,24,2026-09-18,declined
off_2f247d136a12,app_2a5c21b9fb32,brw_8c408e255746,lnd_2e2adcc3d662,10045.39,0.1907,48,2026-09-19,declined
off_756f8ce6bbf2,app_2a5c21b9fb32,brw_8c408e255746,lnd_f0806e150f18,10308.84,0.1894,24,2026-09-17,declined
off_8781f771099e,app_2a5c21b9fb32,brw_8c408e255746,lnd_abf7ad1fc508,9487.72,0.2242,60,2026-09-19,declined
