loan_id,offer_id,borrower_id,lender_id,funded_amount,apr,term_months,funded_date,origination_fee_pct,origination_fee_amount
loan_c5a8f32ee6b4,off_c40f1d4e76a3,brw_8c408e255746,lnd_5201a46cec3a,8262.81,0.1162,36,2026-09-19,0.025,206.57
loan_c45cdb54ea47,off_d7bfda960d75,brw_8c408e255746,lnd_eb741dcfd1a0,6831.55,0.1328,48,2026-06-23,0.022,150.29
loan_f7bd5ca6f84d,off_d022e56b242b,brw_b9a7a4f01a7c,lnd_5201a46cec3a,16545.12,0.1307,36,2025-08-24,0.025,413.63
loan_4afde55e2dc8,off_5a759c146552,brw_b9a7a4f01a7c,lnd_035d3bde8267,6833.11,0.0999,60,2025-07-26,0.018,123.0
loan_e4c0100eb379,off_bdc29c73702b,brw_4ddf8211ad16,lnd_40648b57da4a,13661.03,0.2871,60,2026-08-06,0.04,546.44
loan_34d2aa723542,off_621496ff3dd7,brw_c35af7b13f27,lnd_54a37531f7e5,24174.76,0.1121,36,2026-08-20,0.015,362.62
loan_5114dbc85b54,off_2fef620789df,brw_c35af7b13f27,lnd_68d1bb39a009,8829.81,0.1665,36,2026-09-06,0.03,264.89
loan_4e5dd9f6ec09,off_5bc9b98cbab3,brw_4105177c8aec,lnd_f0806e150f18,16645.03,0.1335,36,2026-03-01,0.032,532.64
loan_a71acebd5ae0,off_09f9d78d9a11,brw_4105177c8aec,lnd_40648b57da4a,8818.77,0.3555,36,2026-08-03,0.04,352.75
loan_fc1d7bb28461,off_f798405845ed,brw_96134911d72b,lnd_2e2adcc3d662,25022.33,0.16,12,2026-07-24,0.028,700.63
loan_195b86d0cb1f,off_cb3ed14bc545,brw_724b50bda1a3,lnd_ebd3fcc47db6,6663.91,0.0871,12,2025-08-09,0.02,133.28
loan_a90fd63df3b7,off_31bda6a62d5f,brw_3e38fef38249,lnd_f0806e150f18,24635.87,0.1321,24,2025-11-20,0.032,788.35
loan_f098698c5ae8,off_3fed4728fae9,brw_1b57310b0669,lnd_eb741dcfd1a0,7925.26,0.09,36,2026-07-04,0.022,174.36
loan_f42edcd02f52,off_6c501d3ecb01,brw_777832b09d66,lnd_54a37531f7e5,9195.6,0.08,36,2025-10-14,0.015,137.93
loan_f1c839722a3d,off_f836dbd09ae8,brw_777832b09d66,lnd_54a37531f7e5,19737.05,0.1351,24,2026-03-11,0.015,296.06
loan_ebc233e62248,off_7ea40178203a,brw_144c8a1d554b,lnd_68d1bb39a009,22986.95,0.146,36,2026-09-05,0.03,689.61
loan_8d9da2079034,off_d8b19fe7bce9,brw_17fc73551b94,lnd_68d1bb39a009,15040.33,0.1893,48,2026-09-07,0.03,451.21
loan_49119a80758d,off_961b36768600,brw_17fc73551b94,lnd_f0806e150f18,14153.44,0.1289,24,2025-09-25,0.032,452.91
loan_117e9814b208,off_41df612db9ce,brw_ba2ee3a5a60a,lnd_40648b57da4a,15505.54,0.2539,48,2026-05-14,0.04,620.22
