account_id,campaign_id
acct_a8c3eeac21c5,camp_16116e6e69d1
acct_36c4ee48b4bf,camp_f0a99afa2685
acct_9a6361a75d85,camp_5c813fe2e923
acct_6b0884c8f64c,camp_29f04eba42c1
acct_0eed0ac9e165,camp_d8b5b2a6948f
acct_03d15c8dfe41,camp_b85545431671
acct_1137034b0d3e,camp_b85545431671
acct_1e715015202c,camp_3f79e9c143ca
acct_c2b5408637f5,camp_3f79e9c143ca
acct_827491a648f2,camp_7eeb7bb0a892
acct_d00bd0fc7aa8,camp_5e9519db3ed4
acct_bcdc392447f3,camp_29f04eba42c1
acct_65f7989c44f9,camp_afa9e7a12d60
acct_bb73049c0fe6,camp_3d9895e8c256
acct_d1466822414b,camp_03822a61e16d
acct_6dddcfca8910,camp_646bc01f2cff
acct_b98cf5132b37,camp_148195876ebe
acct_bb1c73e4612a,camp_27b74f991013
acct_1a659b58f2e4,camp_b85545431671
acct_d000dfa2b11d,camp_5e9519db3ed4
acct_070f2236f6f7,camp_5c813fe2e923
acct_4a11f9ea3219,camp_5e9519db3ed4
acct_7985b04d1d85,camp_7bd23f909adc
acct_717208c38939,camp_3f79e9c143ca
acct_e9dddc09bcce,camp_dbb8712c7898
acct_fa02e45df462,camp_5e9519db3ed4
acct_316438e68f0d,camp_d339d05ff74a
acct_902ae4304357,camp_1e9756bfb88a
acct_fbebaf26b99b,camp_afa9e7a12d60
acct_4bd34620d008,camp_1112176fc1eb
acct_e8eeca8814f5,camp_29f04eba42c1
acct_ecd174043744,camp_bf1a1d15eb26
acct_f185dc11b776,camp_b85545431671
acct_bbc0fb41b150,camp_3f79e9c143ca
acct_fa3331141bc2,camp_afa9e7a12d60
acct_1f6bb8f8c4c6,camp_f0a99afa2685
acct_87c190413efc,camp_7fb59a2e382c
acct_b1bff3c4d62c,camp_03822a61e16d
acct_0570fd596ca8,camp_29f04eba42c1
acct_f853934c5964,camp_5c813fe2e923
acct_5a096faad91f,camp_7bd23f909adc
acct_c031ab3a734b,camp_16116e6e69d1
acct_c499dcbe9cc6,camp_afa9e7a12d60
acct_62e801495bea,camp_5e9519db3ed4
acct_90a9cbcc4534,camp_3f79e9c143ca
acct_620a417af872,camp_5c813fe2e923
acct_1320721a5bdf,camp_7fb59a2e382c
acct_7dd4296eed5f,camp_16116e6e69d1
acct_2ae8802247a5,camp_afa9e7a12d60
acct_a7def6e478ee,camp_afa9e7a12d60
acct_83ea618f1f97,camp_1e9756bfb88a
acct_2d04f82f98c7,camp_1cd1c5bca02f
acct_53a3810c0e18,camp_03822a61e16d
acct_706362a9a3e4,camp_f0a99afa2685
acct_8094bfc87cd8,camp_5e9519db3ed4
acct_46d719ab8620,camp_1e9756bfb88a
acct_f90ce642b0d5,camp_03822a61e16d
acct_6d7caf76a910,camp_7bd23f909adc
acct_5ab0eeb3e36a,camp_3f79e9c143ca
