account_id,account_type,account_name,industry,status,per_member_rate
acct_29e7052f5a45,organization,"Rodriguez, Figueroa and Sanchez Inc.",Retail,active,8.18
acct_45f3dc1942ac,organization,Hoover-Savage Group,Logistics,active,13.54
acct_cce729bea99e,organization,"Russell, Peters and Allen Inc.",Manufacturing,active,14.02
acct_b2e5addde613,organization,"Suarez, Shields and Hill Co.",Financial Services,active,9.08
acct_50a44960811c,organization,"Martinez, Richardson and Curry Inc.",Technology,active,14.15
acct_2d04f82f98c7,organization,Wilcox-Ross Co.,Healthcare,active,11.93
acct_1f6bb8f8c4c6,organization,Roberts-Sullivan Co.,Hospitality,active,13.62
acct_706362a9a3e4,organization,Davis-Gregory Inc.,Education,active,14.14
acct_316438e68f0d,organization,Wilkerson-Arias Holdings,Professional Services,active,12.36
acct_36c4ee48b4bf,organization,Zavala-King Inc.,Construction,active,10.13
acct_55b43f8e3d50,organization,Beltran-Crawford Holdings,Insurance,active,11.61
acct_ee05e6b25286,organization,"Harrington, Johnson and Jones Co.",Media,active,12.28
acct_d3d7a3dd9d05,individual,,,active,
acct_65e9868c8885,individual,,,active,
acct_0902db2d2f3f,individual,,,active,
acct_0eed0ac9e165,individual,,,active,
acct_6d7caf76a910,individual,,,active,
acct_1b02005f6e53,individual,,,active,
acct_a7def6e478ee,individual,,,active,
acct_0bc0ff1b909b,individual,,,active,
acct_0579ea18b6c3,individual,,,active,
acct_902ae4304357,individual,,,active,
acct_fa02e45df462,individual,,,active,
acct_1320721a5bdf,individual,,,active,
acct_53a3810c0e18,individual,,,active,
acct_97e82c0fb559,individual,,,active,
acct_c2b5408637f5,individual,,,active,
acct_d34eff88d3bf,individual,,,active,
acct_86c9aed3b8c3,individual,,,active,
acct_e4c3baa415bf,individual,,,active,
acct_bcdc392447f3,individual,,,active,
acct_c94bd2e8e51e,individual,,,active,
acct_65f7989c44f9,individual,,,active,
acct_e8eeca8814f5,individual,,,active,
acct_8094bfc87cd8,individual,,,active,
acct_1751d7315ab6,individual,,,active,
acct_620a417af872,individual,,,active,
acct_fbebaf26b99b,individual,,,active,
acct_5ab0eeb3e36a,individual,,,active,
acct_7dd4296eed5f,individual,,,active,
acct_2ae8802247a5,individual,,,active,
acct_87c190413efc,individual,,,active,
acct_5a096faad91f,individual,,,active,
acct_0311564600bf,individual,,,active,
acct_424a6d08a0b4,individual,,,active,
acct_51d7653baae4,individual,,,active,
acct_621ced6dc2b3,individual,,,active,
acct_070f2236f6f7,individual,,,active,
acct_bf6b8f963622,individual,,,active,
acct_d000dfa2b11d,individual,,,active,
acct_9a6361a75d85,individual,,,active,
acct_f90ce642b0d5,individual,,,active,
acct_1a659b58f2e4,individual,,,active,
acct_7545ce7ed917,individual,,,active,
acct_1b59d9a60794,individual,,,active,
acct_bb1c73e4612a,individual,,,active,
acct_03d15c8dfe41,individual,,,active,
acct_c5137daa69d2,individual,,,active,
acct_d1466822414b,individual,,,active,
acct_c031ab3a734b,individual,,,active,
acct_0570fd596ca8,individual,,,active,
acct_a8c3eeac21c5,individual,,,active,
acct_6dddcfca8910,individual,,,active,
acct_bb73049c0fe6,individual,,,active,
acct_ccbff5746231,individual,,,active,
acct_90a9cbcc4534,individual,,,active,
acct_ecd174043744,individual,,,active,
acct_4bd34620d008,individual,,,active,
acct_1137034b0d3e,individual,,,active,
acct_4d72a05db94a,individual,,,active,
acct_d00bd0fc7aa8,individual,,,active,
acct_684f8ac57d1b,individual,,,active,
acct_83ea618f1f97,individual,,,active,
acct_0e96daabbc61,individual,,,active,
acct_fa3331141bc2,individual,,,active,
acct_d8c8a5582acf,individual,,,active,
acct_1e715015202c,individual,,,active,
acct_f2704235c338,individual,,,active,
acct_717208c38939,individual,,,active,
acct_f185dc11b776,individual,,,active,
acct_e9dddc09bcce,individual,,,active,
acct_9ce81958de8f,individual,,,active,
acct_7985b04d1d85,individual,,,active,
acct_b98cf5132b37,individual,,,active,
acct_4a11f9ea3219,individual,,,active,
acct_827491a648f2,individual,,,active,
acct_ccefd63f5c44,individual,,,active,
acct_62e801495bea,individual,,,active,
acct_46d719ab8620,individual,,,active,
acct_c716503a8698,individual,,,active,
acct_907c41dd9f3a,individual,,,active,
acct_474cd96160c6,individual,,,active,
acct_c499dcbe9cc6,individual,,,active,
acct_9d046bdd76aa,individual,,,active,
acct_0d803d8ee671,individual,,,active,
acct_dffc0c8866ab,individual,,,active,
acct_fcd31a529d93,individual,,,active,
acct_01547a07375c,individual,,,active,
acct_6163be44a31a,individual,,,active,
acct_57a45ef6510c,individual,,,active,
acct_f9aa388c3f3e,individual,,,active,
acct_bbc0fb41b150,individual,,,active,
acct_e021bb442afe,individual,,,active,
acct_6b0884c8f64c,individual,,,active,
acct_0d685e86db48,individual,,,active,
acct_597866eabc36,individual,,,active,
acct_bdc7ffcd000e,individual,,,active,
acct_f853934c5964,individual,,,active,
acct_b1bff3c4d62c,individual,,,active,
