order_id,member_id,order_type,order_date,amount,status
ord_b7d9d40bfb50,mem_303eb3a07b7b,virtual_event_ticket,2026-06-15,15.55,completed
ord_1b8797d6ed53,mem_852dc505f153,challenge_entry_fee,2026-07-20,9.6,completed
ord_f74330e8b094,mem_852dc505f153,challenge_entry_fee,2026-03-20,9.69,completed
ord_e25a4dc4b41a,mem_c3ccc589c518,fitness_assessment,2026-03-07,30.14,completed
ord_d8fd98ee62b4,mem_c3ccc589c518,challenge_entry_fee,2026-02-27,9.6,completed
ord_27f0b85ecf97,mem_7fd5fccf9942,coaching_session,2026-07-16,50.66,completed
ord_8c3b7c6ba60d,mem_5c06a1aa5f03,coaching_session,2026-02-20,52.6,completed
ord_edfd2c0f700c,mem_531133fb0e8d,virtual_event_ticket,2026-03-25,14.49,completed
ord_18045fdab169,mem_531133fb0e8d,challenge_entry_fee,2026-05-27,9.7,completed
ord_cb9988c95dbc,mem_b04836b32108,fitness_assessment,2026-04-26,29.51,completed
ord_a699e1b2711f,mem_b04836b32108,challenge_entry_fee,2026-02-09,10.01,completed
ord_9bdc7303f01e,mem_b782e4ac252f,coaching_session,2026-03-08,50.53,completed
ord_a4d8dc860f12,mem_556123fce365,challenge_entry_fee,2026-04-05,9.72,refunded
ord_37ba1a8a596b,mem_85004cb3bae2,coaching_session,2025-11-30,51.68,completed
ord_b583f836d1d1,mem_d8858d7f7be7,virtual_event_ticket,2026-05-14,15.1,completed
ord_86cd6f8e4749,mem_d8858d7f7be7,fitness_assessment,2026-05-03,28.5,completed
ord_decfdd927dfa,mem_abee9f64a322,challenge_entry_fee,2026-07-30,10.35,completed
ord_ebd85637422d,mem_4236942c19ce,coaching_session,2025-12-29,49.02,completed
ord_2d500b49ae7e,mem_4236942c19ce,coaching_session,2026-06-08,46.89,completed
ord_76765897c899,mem_4236942c19ce,coaching_session,2025-12-12,49.62,completed
ord_590476de733a,mem_4236942c19ce,challenge_entry_fee,2025-11-29,10.35,completed
ord_386608f1da6b,mem_7abf8dc57c93,challenge_entry_fee,2026-05-22,9.51,completed
ord_457d0c7547bc,mem_7abf8dc57c93,coaching_session,2026-07-03,49.85,completed
ord_b2a6f1346735,mem_44596c538014,coaching_session,2026-07-28,45.01,completed
ord_3e9aecb074ae,mem_44596c538014,coaching_session,2026-08-01,51.96,completed
ord_23b60b5999e3,mem_44596c538014,coaching_session,2026-06-07,47.96,refunded
ord_85e30630f75d,mem_a9cdb165b38c,coaching_session,2026-01-31,50.83,completed
ord_dcc52b8680d9,mem_a9cdb165b38c,coaching_session,2025-12-17,50.07,completed
ord_b3099b9ac829,mem_0a57b349db71,fitness_assessment,2026-07-22,28.72,completed
ord_5a215a25aea9,mem_0a57b349db71,coaching_session,2026-07-12,50.94,completed
ord_1e84b6f1482a,mem_8d8a64c2f367,challenge_entry_fee,2026-05-15,9.81,completed
ord_754c47ebefde,mem_8d8a64c2f367,fitness_assessment,2026-05-16,28.74,completed
ord_3e26d22477f3,mem_a4f5f4cfd92a,challenge_entry_fee,2025-11-01,10.42,refunded
