subscription_id,member_id,plan_id,start_date,end_date,status,billed_amount
sub_08bbcf5e934c,mem_d628dd1ee1b0,plan_standard,2026-03-24,,active,8.18
sub_102ad279d319,mem_3bd555f10a00,plan_premium,2026-04-14,,active,8.18
sub_44bc275ac264,mem_f255c0c0e27a,plan_premium,2025-07-31,,active,8.18
sub_a894dddd950f,mem_12fa1ee5c6ee,plan_standard,2025-09-07,,active,8.18
sub_a0c583421f98,mem_f704860ff992,plan_standard,2025-03-23,,active,8.18
sub_ddbbbcad854a,mem_26205b1c9774,plan_standard,2026-06-05,,active,8.18
sub_c05938a25a32,mem_0d19b285bd90,plan_standard,2026-01-19,,active,8.18
sub_1902969ef94f,mem_53a677ea413a,plan_premium,2026-06-30,,active,8.18
sub_3069bcc8f87a,mem_dc1c56c6e76b,plan_standard,2026-04-16,,active,8.18
sub_b2146ee3b5c2,mem_ce1dd6a5a774,plan_standard,2025-12-10,,active,8.18
sub_91f2c00602d8,mem_b02eef79be72,plan_standard,2026-07-02,,active,8.18
sub_2d66ccc43048,mem_2e4e9802ef6d,plan_standard,2026-04-23,,active,8.18
sub_4bac9a0da6c7,mem_c3ccc589c518,plan_standard,2025-09-23,,active,8.18
sub_0dcf0db7a139,mem_c74b775c3fd8,plan_standard,2025-11-20,,active,8.18
sub_eb3566e2efbc,mem_acdb9d1bf2c9,plan_premium,2026-04-15,,active,8.18
sub_da7189a953b5,mem_a4f5f4cfd92a,plan_premium,2025-10-28,,active,8.18
sub_d4069699e4fc,mem_8d8a64c2f367,plan_standard,2025-06-07,,active,8.18
sub_2573af4306a3,mem_59f47e7ddaf8,plan_standard,2026-07-20,,active,8.18
sub_be64674c010d,mem_0e69b054d542,plan_premium,2025-06-10,,active,8.18
sub_ba97a01dfbf1,mem_ed3569cfc227,plan_premium,2025-08-25,,active,8.18
sub_581e44bdbda5,mem_c64b69ecb4d5,plan_standard,2026-02-25,,active,8.18
sub_18cb88c4fd45,mem_335b4a13fe3c,plan_standard,2026-05-10,,active,8.18
sub_b9c4570f3042,mem_9d73aea1903e,plan_standard,2024-12-28,,active,8.18
sub_542ddc0d47c0,mem_f56ce479bd38,plan_standard,2026-02-26,,active,8.18
sub_5caa6edd9feb,mem_cebd110dcc82,plan_standard,2026-06-03,,active,8.18
sub_8eba80db6977,mem_684c643f39a5,plan_premium,2026-06-01,,active,8.18
sub_a80a13b53cea,mem_125969ed90c5,plan_premium,2025-05-06,,active,8.18
sub_2d877e4ec9e6,mem_08e6ea012bed,plan_standard,2025-10-20,,active,8.18
sub_1355b3f51976,mem_524d3614c580,plan_premium,2025-06-09,,active,8.18
sub_c089983c07b3,mem_2a050a81aba3,plan_standard,2025-08-04,,active,8.18
sub_3788a0aebeb4,mem_aa33c5e4453a,plan_premium,2025-11-25,,active,8.18
sub_915db3dd52aa,mem_858b1523c7a2,plan_standard,2024-11-28,,active,8.18
sub_68a4c9cad9cf,mem_d9fdaf3f0c61,plan_standard,2026-02-08,,active,8.18
sub_786caa83dd17,mem_8a0ef363f515,plan_standard,2025-11-17,,active,8.18
sub_aa1928369c3f,mem_8d06a469459f,plan_premium,2025-05-21,,active,8.18
sub_699fcc5a9cb5,mem_3cdfc9e19e0c,plan_standard,2025-10-11,,active,8.18
sub_8a0814e073b8,mem_637093d0b1e1,plan_premium,2025-04-23,,active,8.18
sub_c2d95a9fbc44,mem_ecd7d1f0bd4d,plan_standard,2025-11-03,,active,8.18
