ticket_id,member_id,ticket_type,ticket_status,ticket_priority,ticket_channel,csat_rating,created_at,resolved_at
tkt_dfbd51e35b77,mem_303eb3a07b7b,Billing inquiry,Closed,Critical,Phone,4.0,2026-05-08,2026-05-08
tkt_3eb28d0fb865,mem_303eb3a07b7b,Refund request,Pending Customer Response,High,Social media,,2026-07-06,
tkt_0a36b0b7781a,mem_852dc505f153,Technical issue,Closed,High,Phone,5.0,2026-03-05,2026-03-07
tkt_98ccfdbe7ccf,mem_c3ccc589c518,Technical issue,Closed,High,Phone,3.0,2026-07-06,2026-07-08
tkt_a29c823f66a0,mem_c3ccc589c518,Technical issue,Closed,High,Email,2.0,2026-08-06,2026-08-06
tkt_272209ee0cdb,mem_7fd5fccf9942,Product inquiry,Open,Low,Social media,,2026-02-18,
tkt_cac83e68bb00,mem_5c06a1aa5f03,Billing inquiry,Closed,Medium,Phone,5.0,2026-03-20,2026-03-23
tkt_e60f10e07bdf,mem_531133fb0e8d,Billing inquiry,Pending Customer Response,Critical,Chat,,2026-07-02,
tkt_a83ccd806c24,mem_531133fb0e8d,Billing inquiry,Closed,High,Chat,5.0,2026-07-08,2026-07-09
tkt_b00962af3a14,mem_531133fb0e8d,Billing inquiry,Closed,Critical,Social media,1.0,2025-12-16,2025-12-16
tkt_197d9375197e,mem_531133fb0e8d,Product inquiry,Closed,Critical,Social media,5.0,2025-08-18,2025-08-19
tkt_0574005f2bb6,mem_b04836b32108,Technical issue,Closed,Critical,Chat,1.0,2026-05-15,2026-05-15
tkt_229d2416962f,mem_b04836b32108,Cancellation request,Open,Medium,Chat,,2026-03-02,
tkt_b26b6fa07efd,mem_b782e4ac252f,Cancellation request,Pending Customer Response,Medium,Chat,,2026-04-16,
tkt_36673e0cbc31,mem_556123fce365,Billing inquiry,Closed,Medium,Phone,2.0,2025-12-12,2025-12-17
tkt_9c9a9d27d709,mem_556123fce365,Product inquiry,Pending Customer Response,High,Phone,,2025-11-06,
tkt_31ce3f2e9f8a,mem_85004cb3bae2,Product inquiry,Pending Customer Response,Critical,Email,,2026-05-22,
tkt_654fdb9648f3,mem_85004cb3bae2,Refund request,Closed,Critical,Phone,4.0,2026-01-15,2026-01-15
tkt_b2a78ef04ed4,mem_d8858d7f7be7,Cancellation request,Closed,Low,Social media,5.0,2026-05-10,2026-05-18
tkt_8f9468c46aa4,mem_d8858d7f7be7,Cancellation request,Pending Customer Response,High,Phone,,2026-04-01,
tkt_55e217a9ac22,mem_abee9f64a322,Product inquiry,Closed,Low,Email,3.0,2026-07-03,2026-07-09
tkt_03f9a2b7a9fb,mem_4236942c19ce,Technical issue,Pending Customer Response,Medium,Phone,,2025-11-16,
tkt_22843ca129d6,mem_7abf8dc57c93,Billing inquiry,Open,Medium,Chat,,2026-05-11,
tkt_c29cc5e42eb2,mem_44596c538014,Product inquiry,Closed,Low,Email,4.0,2026-07-21,2026-07-29
tkt_6955a0f9ed56,mem_a9cdb165b38c,Technical issue,Open,Medium,Chat,,2026-04-03,
tkt_06a085ad36e9,mem_0a57b349db71,Billing inquiry,Open,Critical,Phone,,2026-06-20,
tkt_c16778ddc208,mem_0a57b349db71,Technical issue,Closed,Low,Chat,1.0,2026-08-04,2026-08-06
tkt_b02fa3c8c130,mem_0a57b349db71,Refund request,Closed,Medium,Social media,5.0,2026-07-08,2026-07-13
tkt_f56f27e79d1f,mem_8d8a64c2f367,Billing inquiry,Pending Customer Response,Low,Email,,2026-05-20,
tkt_ffcba67df02c,mem_8d8a64c2f367,Product inquiry,Pending Customer Response,Critical,Chat,,2026-03-08,
tkt_5e053b3a90e2,mem_8d8a64c2f367,Billing inquiry,Open,High,Social media,,2025-11-23,
tkt_9f3ac2d93519,mem_a4f5f4cfd92a,Product inquiry,Open,Critical,Email,,2025-11-11,
tkt_cd35aaceb153,mem_cd64132b5ee3,Billing inquiry,Closed,Critical,Phone,5.0,2026-03-15,2026-03-16
tkt_d22e93f3bfe5,mem_cd64132b5ee3,Refund request,Closed,Medium,Social media,2.0,2026-03-31,2026-04-04
tkt_c954e1b07e2d,mem_19fc98966cfe,Billing inquiry,Closed,Critical,Social media,1.0,2025-05-03,2025-05-03
tkt_93d2e681a295,mem_f5eadf0c263d,Refund request,Open,Medium,Phone,,2026-04-29,
tkt_d7198f0bcfd8,mem_f5eadf0c263d,Refund request,Open,High,Chat,,2026-03-19,
tkt_25284b493b03,mem_f5eadf0c263d,Technical issue,Open,Critical,Chat,,2026-02-24,
tkt_2b745850f857,mem_7dc7dbfeefcb,Product inquiry,Open,Medium,Social media,,2026-02-28,
tkt_4d1521dd7ab1,mem_c7f0da7a9e71,Product inquiry,Open,Critical,Chat,,2026-07-02,
tkt_858381cb807d,mem_c74b775c3fd8,Cancellation request,Closed,Medium,Email,2.0,2026-01-18,2026-01-23
tkt_e12f41f6beb7,mem_1536946f9a75,Billing inquiry,Closed,High,Social media,4.0,2026-06-20,2026-06-21
tkt_e98a950add27,mem_9b84e56449c2,Product inquiry,Pending Customer Response,Low,Social media,,2026-02-06,
tkt_31304b7d7935,mem_0b9c9762b2e0,Product inquiry,Pending Customer Response,Critical,Social media,,2025-09-16,
tkt_cf141b265d94,mem_75dc58d7650f,Refund request,Open,Medium,Chat,,2026-03-02,
tkt_0e84630ee8ed,mem_75dc58d7650f,Product inquiry,Open,Medium,Email,,2024-12-12,
tkt_813d04e10f7f,mem_75dc58d7650f,Cancellation request,Pending Customer Response,Critical,Phone,,2026-05-27,
tkt_76fa25ee53aa,mem_3980b5bf0267,Technical issue,Open,High,Social media,,2026-06-01,
tkt_c86fb9dbc7e9,mem_f08db6dc3dec,Technical issue,Open,High,Email,,2026-04-21,
tkt_ce2f193a9835,mem_ce68b39535f4,Billing inquiry,Pending Customer Response,High,Email,,2026-05-27,
tkt_41a2ec4406db,mem_ce68b39535f4,Billing inquiry,Pending Customer Response,Medium,Chat,,2026-06-30,
tkt_d022b2f6a9f5,mem_ce68b39535f4,Billing inquiry,Pending Customer Response,High,Chat,,2025-12-27,
tkt_9fc11ac8eeaa,mem_ce68b39535f4,Billing inquiry,Closed,Low,Social media,2.0,2026-05-10,2026-05-18
tkt_4d5a011c2221,mem_9e6d92f6fe02,Refund request,Closed,High,Chat,1.0,2026-04-14,2026-04-17
tkt_cf9270d84c23,mem_42c76333a1c4,Billing inquiry,Closed,Medium,Email,2.0,2026-07-29,2026-08-02
tkt_1310dce62e32,mem_1057e9fb58aa,Billing inquiry,Open,High,Phone,,2026-06-28,
tkt_58f0f794997b,mem_6b0b823aa3cd,Refund request,Closed,Low,Email,3.0,2026-04-30,2026-05-09
tkt_ddb276476c26,mem_2ba5ba90569e,Billing inquiry,Closed,Low,Chat,3.0,2026-07-03,2026-07-12
tkt_3eada9307fb4,mem_2ba5ba90569e,Refund request,Pending Customer Response,Low,Email,,2026-06-29,
tkt_87d2a3331807,mem_8e742f12b9ab,Cancellation request,Open,Medium,Social media,,2026-06-27,
tkt_7f8109c1df55,mem_8e742f12b9ab,Refund request,Closed,High,Email,5.0,2026-05-04,2026-05-05
tkt_8d97da1c76ca,mem_12fa1ee5c6ee,Refund request,Pending Customer Response,High,Phone,,2026-04-10,
tkt_4c9136a1a514,mem_4f6d75f501c4,Product inquiry,Pending Customer Response,Critical,Social media,,2026-05-06,
