workout_id,member_id,activity_date,steps,distance_km,very_active_minutes,moderately_active_minutes,light_active_minutes,sedentary_minutes,calories_burned,source
wkt_0000001,mem_b02eef79be72,2026-07-02,5057,5.49,0,0,195,1245,1724,real_fitbit
wkt_0000002,mem_b02eef79be72,2026-07-03,6198,6.73,0,0,249,1191,1852,real_fitbit
wkt_0000003,mem_b02eef79be72,2026-07-04,6559,7.11,0,7,260,1173,1905,real_fitbit
wkt_0000004,mem_b02eef79be72,2026-07-05,5997,6.5,0,11,228,1201,1811,real_fitbit
wkt_0000005,mem_b02eef79be72,2026-07-06,0,0.0,0,0,0,1440,1324,real_fitbit
wkt_0000006,mem_b02eef79be72,2026-07-07,7192,7.81,0,11,283,1146,1922,real_fitbit
wkt_0000007,mem_b02eef79be72,2026-07-08,3404,3.69,1,10,127,1302,1610,real_fitbit
wkt_0000008,mem_b02eef79be72,2026-07-09,5583,6.05,0,0,266,1174,1851,real_fitbit
wkt_0000009,mem_b02eef79be72,2026-07-10,5079,5.5,0,0,242,1129,1804,real_fitbit
wkt_0000010,mem_b02eef79be72,2026-07-11,4165,4.52,0,0,204,1236,1725,real_fitbit
wkt_0000011,mem_b02eef79be72,2026-07-12,3588,3.89,3,5,152,1280,1654,real_fitbit
wkt_0000012,mem_b02eef79be72,2026-07-13,3409,3.7,0,0,147,1293,1632,real_fitbit
wkt_0000013,mem_b02eef79be72,2026-07-14,1715,1.87,0,0,82,1358,1481,real_fitbit
wkt_0000014,mem_b02eef79be72,2026-07-15,1532,1.66,0,0,76,1364,1473,real_fitbit
wkt_0000015,mem_b02eef79be72,2026-07-16,924,1.0,0,0,45,1395,1410,real_fitbit
wkt_0000016,mem_b02eef79be72,2026-07-17,0,0.0,0,0,0,1440,1324,real_fitbit
wkt_0000017,mem_b02eef79be72,2026-07-18,4571,4.96,0,0,234,1206,1779,real_fitbit
wkt_0000018,mem_b02eef79be72,2026-07-19,0,0.0,0,0,0,1440,1324,real_fitbit
wkt_0000019,mem_b02eef79be72,2026-07-20,4931,5.34,0,0,175,1265,1708,real_fitbit
wkt_0000020,mem_b02eef79be72,2026-07-21,6999,7.6,0,0,320,1120,1950,real_fitbit
wkt_0000021,mem_b02eef79be72,2026-07-22,1846,2.0,0,0,93,1347,1508,real_fitbit
wkt_0000022,mem_b02eef79be72,2026-07-23,3417,3.7,0,0,153,1287,1625,real_fitbit
wkt_0000023,mem_b02eef79be72,2026-07-24,4863,5.28,1,11,208,1220,1772,real_fitbit
wkt_0000024,mem_b02eef79be72,2026-07-25,772,0.84,0,0,40,1400,1403,real_fitbit
wkt_0000025,mem_b02eef79be72,2026-07-26,6227,6.76,0,0,290,1150,1899,real_fitbit
wkt_0000026,mem_b02eef79be72,2026-07-27,6424,6.97,0,0,300,1140,1903,real_fitbit
wkt_0000027,mem_b02eef79be72,2026-07-28,2661,2.88,0,0,128,830,1125,real_fitbit
wkt_0000028,mem_b02eef79be72,2026-07-29,3634,3.94,5,6,123,1306,1613,real_fitbit
wkt_0000029,mem_b02eef79be72,2026-07-30,7443,8.08,20,10,206,1204,1878,real_fitbit
wkt_0000030,mem_b02eef79be72,2026-07-31,1201,1.3,0,0,52,1388,1426,real_fitbit
wkt_0000031,mem_b02eef79be72,2026-08-01,5202,5.65,0,11,223,1206,1780,real_fitbit
wkt_0000032,mem_b02eef79be72,2026-08-02,4878,5.29,0,0,204,1236,1742,real_fitbit
wkt_0000033,mem_b02eef79be72,2026-08-03,7379,8.0,0,0,319,1121,1972,real_fitbit
wkt_0000034,mem_b02eef79be72,2026-08-04,5161,5.6,0,0,247,1193,1821,real_fitbit
wkt_0000035,mem_b02eef79be72,2026-08-05,3090,3.35,0,0,145,1295,1630,real_fitbit
wkt_0000036,mem_a4f5f4cfd92a,2026-06-17,1810,1.9,0,0,121,1319,1373,real_fitbit
wkt_0000037,mem_a4f5f4cfd92a,2026-06-18,815,0.85,0,0,47,1393,1264,real_fitbit
wkt_0000038,mem_a4f5f4cfd92a,2026-06-19,1985,2.08,0,0,112,1328,1350,real_fitbit
wkt_0000039,mem_a4f5f4cfd92a,2026-06-20,1905,2.0,0,0,95,1345,1342,real_fitbit
wkt_0000040,mem_a4f5f4cfd92a,2026-06-21,1552,1.63,0,0,66,1374,1300,real_fitbit
wkt_0000041,mem_a4f5f4cfd92a,2026-06-22,1675,1.75,0,0,84,1356,1313,real_fitbit
wkt_0000042,mem_a4f5f4cfd92a,2026-06-23,4506,4.72,7,4,144,1285,1498,real_fitbit
wkt_0000043,mem_a4f5f4cfd92a,2026-06-24,9218,9.64,0,0,221,1219,1541,real_fitbit
wkt_0000044,mem_a4f5f4cfd92a,2026-06-25,3910,4.09,7,7,186,1240,1555,real_fitbit
wkt_0000045,mem_a4f5f4cfd92a,2026-06-26,10000,10.46,0,0,172,1268,1469,real_fitbit
wkt_0000046,mem_a4f5f4cfd92a,2026-06-27,6627,6.94,0,0,89,604,706,real_fitbit
wkt_0000047,mem_a4f5f4cfd92a,2026-06-28,8163,8.55,0,0,146,1294,1432,real_fitbit
wkt_0000048,mem_a4f5f4cfd92a,2026-06-29,7007,7.32,0,0,148,1292,1411,real_fitbit
wkt_0000049,mem_a4f5f4cfd92a,2026-06-30,9107,9.53,0,0,236,1204,1572,real_fitbit
wkt_0000050,mem_a4f5f4cfd92a,2026-07-01,1510,1.58,0,0,96,1344,1344,real_fitbit
wkt_0000051,mem_a4f5f4cfd92a,2026-07-02,5370,5.62,0,0,176,1264,1463,real_fitbit
wkt_0000052,mem_a4f5f4cfd92a,2026-07-03,6175,6.53,15,22,127,1276,1554,real_fitbit
wkt_0000053,mem_a4f5f4cfd92a,2026-07-04,10536,11.93,17,7,202,1214,1604,real_fitbit
wkt_0000054,mem_a4f5f4cfd92a,2026-07-05,2916,3.06,0,0,141,1299,1435,real_fitbit
wkt_0000055,mem_a4f5f4cfd92a,2026-07-06,1556,1.63,0,0,88,1352,1327,real_fitbit
wkt_0000056,mem_a4f5f4cfd92a,2026-07-07,4974,5.2,0,0,151,1289,1446,real_fitbit
wkt_0000057,mem_a4f5f4cfd92a,2026-07-08,6349,6.65,0,0,186,1254,1467,real_fitbit
wkt_0000058,mem_a4f5f4cfd92a,2026-07-09,4026,4.22,0,0,199,1241,1470,real_fitbit
wkt_0000059,mem_a4f5f4cfd92a,2026-07-10,8538,8.93,0,0,227,1213,1562,real_fitbit
wkt_0000060,mem_a4f5f4cfd92a,2026-07-11,6076,6.36,16,18,185,1221,1617,real_fitbit
wkt_0000061,mem_a4f5f4cfd92a,2026-07-12,6497,6.79,0,0,202,1238,1492,real_fitbit
wkt_0000062,mem_a4f5f4cfd92a,2026-07-13,2826,2.96,0,0,140,1300,1402,real_fitbit
wkt_0000063,mem_a4f5f4cfd92a,2026-07-14,8367,8.75,17,36,154,1233,1670,real_fitbit
wkt_0000064,mem_a4f5f4cfd92a,2026-07-15,2759,2.88,0,5,115,1320,1401,real_fitbit
wkt_0000065,mem_a4f5f4cfd92a,2026-07-16,2390,2.49,0,0,150,1290,1404,real_fitbit
wkt_0000066,mem_a4f5f4cfd92a,2026-07-17,2910,3.04,0,0,157,1283,1452,real_fitbit
wkt_0000067,mem_a4f5f4cfd92a,2026-07-18,6474,6.92,11,23,224,1182,1655,real_fitbit
wkt_0000068,mem_a4f5f4cfd92a,2026-07-19,18464,19.31,0,0,270,1170,1574,real_fitbit
wkt_0000069,mem_a4f5f4cfd92a,2026-07-20,1335,1.4,0,0,74,1366,1308,real_fitbit
wkt_0000070,mem_a4f5f4cfd92a,2026-07-21,1004,1.05,0,0,55,1385,1276,real_fitbit
wkt_0000071,mem_a4f5f4cfd92a,2026-07-22,1111,1.16,0,0,54,1386,1278,real_fitbit
wkt_0000072,mem_a4f5f4cfd92a,2026-07-23,6344,6.63,0,0,143,1297,1409,real_fitbit
wkt_0000073,mem_a4f5f4cfd92a,2026-07-24,3572,3.73,0,0,122,1318,1370,real_fitbit
wkt_0000074,mem_a4f5f4cfd92a,2026-07-25,36019,45.11,186,63,171,1020,2690,real_fitbit
wkt_0000075,mem_a4f5f4cfd92a,2026-07-26,2969,3.11,0,0,139,1301,1393,real_fitbit
wkt_0000076,mem_a4f5f4cfd92a,2026-07-27,3134,3.28,0,0,112,1328,1359,real_fitbit
wkt_0000077,mem_a4f5f4cfd92a,2026-07-28,2971,3.11,0,0,107,890,1002,real_fitbit
wkt_0000078,mem_a4f5f4cfd92a,2026-07-29,7155,7.93,7,6,166,1261,1497,real_fitbit
wkt_0000079,mem_a4f5f4cfd92a,2026-07-30,2100,2.2,0,0,96,1344,1334,real_fitbit
wkt_0000080,mem_a4f5f4cfd92a,2026-07-31,2193,2.3,0,0,118,1322,1368,real_fitbit
wkt_0000081,mem_a4f5f4cfd92a,2026-08-01,2470,2.59,0,0,117,1323,1370,real_fitbit
wkt_0000082,mem_a4f5f4cfd92a,2026-08-02,1727,1.8,0,0,102,1338,1341,real_fitbit
wkt_0000083,mem_a4f5f4cfd92a,2026-08-03,2104,2.2,0,0,182,1258,1474,real_fitbit
wkt_0000084,mem_a4f5f4cfd92a,2026-08-04,3427,3.59,0,0,152,1288,1427,real_fitbit
wkt_0000085,mem_a4f5f4cfd92a,2026-08-05,1732,1.82,0,0,91,1349,1328,real_fitbit
wkt_0000086,mem_c64b69ecb4d5,2026-06-21,2303,2.49,0,0,155,807,2010,real_fitbit
wkt_0000087,mem_c64b69ecb4d5,2026-06-22,2600,2.8,0,0,163,1277,2032,real_fitbit
wkt_0000088,mem_c64b69ecb4d5,2026-06-23,4804,5.18,0,0,238,786,2227,real_fitbit
wkt_0000089,mem_c64b69ecb4d5,2026-06-24,3271,3.52,0,0,205,898,2133,real_fitbit
wkt_0000090,mem_c64b69ecb4d5,2026-06-25,6625,7.16,0,0,316,755,2424,real_fitbit
wkt_0000091,mem_c64b69ecb4d5,2026-06-26,5986,6.65,23,5,195,789,2297,real_fitbit
wkt_0000092,mem_c64b69ecb4d5,2026-06-27,278,0.31,0,0,20,253,745,real_fitbit
wkt_0000093,mem_c64b69ecb4d5,2026-06-28,3276,3.54,0,0,196,787,2113,real_fitbit
wkt_0000094,mem_c64b69ecb4d5,2026-06-29,2961,3.2,0,0,194,840,2095,real_fitbit
wkt_0000095,mem_c64b69ecb4d5,2026-06-30,3974,4.3,0,0,231,717,2194,real_fitbit
wkt_0000096,mem_c64b69ecb4d5,2026-07-01,7198,7.77,0,0,350,711,2496,real_fitbit
wkt_0000097,mem_c64b69ecb4d5,2026-07-02,3945,4.26,0,0,225,716,2180,real_fitbit
wkt_0000098,mem_c64b69ecb4d5,2026-07-03,2268,2.45,0,0,114,1219,1933,real_fitbit
wkt_0000099,mem_c64b69ecb4d5,2026-07-04,6155,6.82,25,6,162,1247,2248,real_fitbit
wkt_0000100,mem_c64b69ecb4d5,2026-07-05,2064,2.24,0,0,121,895,1954,real_fitbit
wkt_0000101,mem_c64b69ecb4d5,2026-07-06,5406,5.84,0,0,273,672,2317,real_fitbit
wkt_0000102,mem_c64b69ecb4d5,2026-07-07,2072,2.24,0,0,137,841,1974,real_fitbit
wkt_0000103,mem_c64b69ecb4d5,2026-07-08,3809,4.12,0,0,215,756,2150,real_fitbit
wkt_0000104,mem_c64b69ecb4d5,2026-07-09,6831,7.37,0,0,317,706,2432,real_fitbit
wkt_0000105,mem_c64b69ecb4d5,2026-07-10,4363,4.72,0,0,201,1239,2149,real_fitbit
wkt_0000106,mem_c64b69ecb4d5,2026-07-11,5002,5.41,0,0,244,1196,2247,real_fitbit
wkt_0000107,mem_c64b69ecb4d5,2026-07-12,3385,3.65,0,0,179,916,2070,real_fitbit
wkt_0000108,mem_c64b69ecb4d5,2026-07-13,6326,7.1,29,1,180,839,2291,real_fitbit
wkt_0000109,mem_c64b69ecb4d5,2026-07-14,7243,8.09,32,1,194,839,2361,real_fitbit
wkt_0000110,mem_c64b69ecb4d5,2026-07-15,4493,4.84,0,0,236,762,2203,real_fitbit
wkt_0000111,mem_c64b69ecb4d5,2026-07-16,4676,5.05,0,0,226,1106,2196,real_fitbit
wkt_0000112,mem_c64b69ecb4d5,2026-07-17,3146,3.4,0,0,171,1269,2058,real_fitbit
wkt_0000113,mem_c64b69ecb4d5,2026-07-18,6222,6.73,0,0,290,797,2363,real_fitbit
wkt_0000114,mem_c64b69ecb4d5,2026-07-19,2422,2.62,0,0,110,1330,1935,real_fitbit
wkt_0000115,mem_c64b69ecb4d5,2026-07-20,4239,4.57,1,6,235,702,2217,real_fitbit
wkt_0000116,mem_c64b69ecb4d5,2026-07-21,6911,7.69,28,2,215,745,2374,real_fitbit
wkt_0000117,mem_c64b69ecb4d5,2026-07-22,6667,7.42,24,1,208,939,2335,real_fitbit
wkt_0000118,mem_c64b69ecb4d5,2026-07-23,5543,5.99,0,0,266,941,2303,real_fitbit
wkt_0000119,mem_c64b69ecb4d5,2026-07-24,4195,4.52,0,0,239,758,2210,real_fitbit
wkt_0000120,mem_c64b69ecb4d5,2026-07-25,5232,5.65,0,0,240,741,2246,real_fitbit
wkt_0000121,mem_c64b69ecb4d5,2026-07-26,3915,4.23,0,0,231,783,2181,real_fitbit
wkt_0000122,mem_c64b69ecb4d5,2026-07-27,9105,9.83,34,22,232,622,2499,real_fitbit
wkt_0000123,mem_c64b69ecb4d5,2026-07-28,768,0.84,0,0,58,380,1212,real_fitbit
wkt_0000124,mem_c64b69ecb4d5,2026-07-29,6910,7.64,27,4,200,667,2336,real_fitbit
wkt_0000125,mem_c64b69ecb4d5,2026-07-30,7502,8.34,30,2,233,725,2421,real_fitbit
wkt_0000126,mem_c64b69ecb4d5,2026-07-31,2923,3.15,0,0,180,897,2070,real_fitbit
wkt_0000127,mem_c64b69ecb4d5,2026-08-01,3800,4.1,2,6,185,734,2120,real_fitbit
wkt_0000128,mem_c64b69ecb4d5,2026-08-02,4514,4.88,0,0,229,809,2211,real_fitbit
wkt_0000129,mem_c64b69ecb4d5,2026-08-03,5183,5.78,26,4,108,866,2123,real_fitbit
